FID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_DR_25,TEMP,BUIL_DR_26,BUIL_DR_27,BUIL_DR_28,BUIL_DR_29,PEOP_DR_25,PEOP_DR_26,PEOP_DR_27,PEOP_DR_28,PEOP_DR_29,AGRI_DR_25,AGRI_DR_26,AGRI_DR_27,AGRI_DR_28,AGRI_DR_29,ROAD_DR_25,ROAD_DR_26,ROAD_DR_27,ROAD_DR_28,ROAD_DR_29,BUIL_DR_50,BUIL_DR_51,BUIL_DR_52,BUIL_DR_53,BUIL_DR_54,PEOP_DR_50,PEOP_DR_51,PEOP_DR_52,PEOP_DR_53,PEOP_DR_54,AGRI_DR_50,AGRI_DR_51,AGRI_DR_52,AGRI_DR_53,AGRI_DR_54,ROAD_DR_50,ROAD_DR_51,ROAD_DR_52,ROAD_DR_53,ROAD_DR_54,BUIL_DR_10,BUIL_DR_11,BUIL_DR_12,BUIL_DR_13,BUIL_DR_14,PEOP_DR_10,PEOP_DR_11,PEOP_DR_12,PEOP_DR_13,PEOP_DR_14,AGRI_DR_10,AGRI_DR_11,AGRI_DR_12,AGRI_DR_13,AGRI_DR_14,ROAD_DR_10,ROAD_DR_11,ROAD_DR_12,ROAD_DR_13,ROAD_DR_14,Shape_Length,Shape_Area,FID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_EQ_10,TEMP,BUIL_EQ_11,BUIL_EQ_12,BUIL_EQ_13,BUIL_EQ_14,PEOP_EQ_10,PEOP_EQ_11,PEOP_EQ_12,PEOP_EQ_13,PEOP_EQ_14,AGRI_EQ_10,AGRI_EQ_11,AGRI_EQ_12,AGRI_EQ_13,AGRI_EQ_14,ROAD_EQ_10,ROAD_EQ_11,ROAD_EQ_12,ROAD_EQ_13,ROAD_EQ_14,BUIL_EQ_47,BUIL_EQ_48,BUIL_EQ_49,BUIL_EQ_50,BUIL_EQ_51,PEOP_EQ_47,PEOP_EQ_48,PEOP_EQ_49,PEOP_EQ_50,PEOP_EQ_51,AGRI_EQ_47,AGRI_EQ_48,AGRI_EQ_49,AGRI_EQ_50,AGRI_EQ_51,ROAD_EQ_47,ROAD_EQ_48,ROAD_EQ_49,ROAD_EQ_50,ROAD_EQ_51,BUIL_EQ_15,BUIL_EQ_16,BUIL_EQ_17,BUIL_EQ_18,BUIL_EQ_19,PEOP_EQ_15,PEOP_EQ_16,PEOP_EQ_17,PEOP_EQ_18,PEOP_EQ_19,AGRI_EQ_15,AGRI_EQ_16,AGRI_EQ_17,AGRI_EQ_18,AGRI_EQ_19,ROAD_EQ_15,ROAD_EQ_16,Shape_Length,Shape_Area,FID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_FL_5_,TEMP,BUIL_FL_51,BUIL_FL_52,BUIL_FL_53,BUIL_FL_54,PEOP_FL_5_,PEOP_FL_51,PEOP_FL_52,PEOP_FL_53,PEOP_FL_54,AGRI_FL_5_,AGRI_FL_51,AGRI_FL_52,AGRI_FL_53,AGRI_FL_54,ROAD_FL_5_,ROAD_FL_51,ROAD_FL_52,ROAD_FL_53,ROAD_FL_54,BUIL_FL_20,BUIL_FL_21,BUIL_FL_22,BUIL_FL_23,BUIL_FL_24,PEOP_FL_20,PEOP_FL_21,PEOP_FL_22,PEOP_FL_23,PEOP_FL_24,AGRI_FL_20,AGRI_FL_21,AGRI_FL_22,AGRI_FL_23,AGRI_FL_24,ROAD_FL_20,ROAD_FL_21,ROAD_FL_22,ROAD_FL_23,ROAD_FL_24,BUIL_FL_10,BUIL_FL_11,BUIL_FL_12,BUIL_FL_13,BUIL_FL_14,PEOP_FL_10,PEOP_FL_11,PEOP_FL_12,PEOP_FL_13,PEOP_FL_14,AGRI_FL_10,AGRI_FL_11,AGRI_FL_12,AGRI_FL_13,AGRI_FL_14,ROAD_FL_10,ROAD_FL_11,ROAD_FL_12,ROAD_FL_13,ROAD_FL_14,Shape_Length,Shape_Area,FID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_LS_20,TEMP,BUIL_LS_21,BUIL_LS_22,BUIL_LS_23,BUIL_LS_24,PEOP_LS_20,PEOP_LS_21,PEOP_LS_22,PEOP_LS_23,PEOP_LS_24,AGRI_LS_20,AGRI_LS_21,AGRI_LS_22,AGRI_LS_23,AGRI_LS_24,ROAD_LS_20,ROAD_LS_21,ROAD_LS_22,ROAD_LS_23,ROAD_LS_24,BUIL_LS_50,BUIL_LS_51,BUIL_LS_52,BUIL_LS_53,BUIL_LS_54,PEOP_LS_50,PEOP_LS_51,PEOP_LS_52,PEOP_LS_53,PEOP_LS_54,AGRI_LS_50,AGRI_LS_51,AGRI_LS_52,AGRI_LS_53,AGRI_LS_54,ROAD_LS_50,ROAD_LS_51,ROAD_LS_52,ROAD_LS_53,ROAD_LS_54,BUIL_LS_10,BUIL_LS_11,BUIL_LS_12,BUIL_LS_13,BUIL_LS_14,PEOP_LS_10,PEOP_LS_11,PEOP_LS_12,PEOP_LS_13,PEOP_LS_14,AGRI_LS_10,AGRI_LS_11,AGRI_LS_12,AGRI_LS_13,AGRI_LS_14,ROAD_LS_10,ROAD_LS_11,ROAD_LS_12,ROAD_LS_13,ROAD_LS_14,Shape_Length,Shape_Area,FID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_MF_20,TEMP,BUIL_MF_21,BUIL_MF_22,BUIL_MF_23,BUIL_MF_24,PEOP_MF_20,PEOP_MF_21,PEOP_MF_22,PEOP_MF_23,PEOP_MF_24,AGRI_MF_20,AGRI_MF_21,AGRI_MF_22,AGRI_MF_23,AGRI_MF_24,ROAD_MF_20,ROAD_MF_21,ROAD_MF_22,ROAD_MF_23,ROAD_MF_24,BUIL_MF_50,BUIL_MF_51,BUIL_MF_52,BUIL_MF_53,BUIL_MF_54,PEOP_MF_50,PEOP_MF_51,PEOP_MF_52,PEOP_MF_53,PEOP_MF_54,AGRI_MF_50,AGRI_MF_51,AGRI_MF_52,AGRI_MF_53,AGRI_MF_54,ROAD_MF_50,ROAD_MF_51,ROAD_MF_52,ROAD_MF_53,ROAD_MF_54,BUIL_MF_10,BUIL_MF_11,BUIL_MF_12,BUIL_MF_13,BUIL_MF_14,PEOP_MF_10,PEOP_MF_11,PEOP_MF_12,PEOP_MF_13,PEOP_MF_14,AGRI_MF_10,AGRI_MF_11,AGRI_MF_12,AGRI_MF_13,AGRI_MF_14,ROAD_MF_10,ROAD_MF_11,ROAD_MF_12,ROAD_MF_13,ROAD_MF_14,Shape_Length,Shape_Area,FID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_SA_20,TEMP,BUIL_SA_21,BUIL_SA_22,BUIL_SA_23,BUIL_SA_24,PEOP_SA_20,PEOP_SA_21,PEOP_SA_22,PEOP_SA_23,PEOP_SA_24,AGRI_SA_20,AGRI_SA_21,AGRI_SA_22,AGRI_SA_23,AGRI_SA_24,ROAD_SA_20,ROAD_SA_21,ROAD_SA_22,ROAD_SA_23,ROAD_SA_24,BUIL_SA_50,BUIL_SA_51,BUIL_SA_52,BUIL_SA_53,BUIL_SA_54,PEOP_SA_50,PEOP_SA_51,PEOP_SA_52,PEOP_SA_53,PEOP_SA_54,AGRI_SA_50,AGRI_SA_51,AGRI_SA_52,AGRI_SA_53,AGRI_SA_54,ROAD_SA_50,ROAD_SA_51,ROAD_SA_52,ROAD_SA_53,ROAD_SA_54,BUIL_SA_10,BUIL_SA_11,BUIL_SA_12,BUIL_SA_13,BUIL_SA_14,PEOP_SA_10,PEOP_SA_11,PEOP_SA_12,PEOP_SA_13,PEOP_SA_14,AGRI_SA_10,AGRI_SA_11,AGRI_SA_12,AGRI_SA_13,AGRI_SA_14,ROAD_SA_10,ROAD_SA_11,ROAD_SA_12,ROAD_SA_13,ROAD_SA_14,Shape_Length,Shape_Area,FID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_WS_5_,TEMP,BUIL_WS_51,BUIL_WS_52,BUIL_WS_53,BUIL_WS_54,PEOP_WS_5_,PEOP_WS_51,PEOP_WS_52,PEOP_WS_53,PEOP_WS_54,AGRI_WS_5_,AGRI_WS_51,AGRI_WS_52,AGRI_WS_53,AGRI_WS_54,ROAD_WS_5_,ROAD_WS_51,ROAD_WS_52,ROAD_WS_53,ROAD_WS_54,BUIL_WS_20,BUIL_WS_21,BUIL_WS_22,BUIL_WS_23,BUIL_WS_24,PEOP_WS_20,PEOP_WS_21,PEOP_WS_22,PEOP_WS_23,PEOP_WS_24,AGRI_WS_20,AGRI_WS_21,AGRI_WS_22,AGRI_WS_23,AGRI_WS_24,ROAD_WS_20,ROAD_WS_21,ROAD_WS_22,ROAD_WS_23,ROAD_WS_24,BUIL_WS_50,BUIL_WS_55,BUIL_WS_56,BUIL_WS_57,BUIL_WS_58,PEOP_WS_50,PEOP_WS_55,PEOP_WS_56,PEOP_WS_57,PEOP_WS_58,AGRI_WS_50,AGRI_WS_55,AGRI_WS_56,AGRI_WS_57,AGRI_WS_58,ROAD_WS_50,ROAD_WS_55,ROAD_WS_56,ROAD_WS_57,ROAD_WS_58,Shape_Length,Shape_Area
1,Zafarobod_Jomi,Zafarobod,Jomi,10636,88,6430,1796,309,910,99,886,0,0,0,3317,3113,0,0,0,4243,6373,0,0,0,28,60,0,0,0,0,0,940,856,0,0,0,3339,3091,0,17,0,4839,5743,0,0,0,34,52,0,0,0,0,0,1796,0,0,0,0,6430,0,0,0,0,10616,0,0,0,0,87,61089.24252207519,114273225.0,1,Zafarobod_Jomi,Zafarobod,Jomi,10636,88,6430,1796,309,0,0,1796,0,0,0,0,6430,0,0,0,0,10636,0,0,0,0,88,0,0,0,0,0,1796,0,0,0,0,6430,0,0,0,0,10635,1,0,0,0,88,0,0,0,0,0,1796,0,0,0,0,6430,0,0,0,0,10636,0,0,0,61089.24252207519,114273225.0,1,Zafarobod_Jomi,Zafarobod,Jomi,10636,88,6430,1796,309,0,0,244,41,3,0,0,884,146,10,0,0,1201,302,70,0,0,9,1,0,0,0,309,43,3,0,0,1110,152,10,0,0,1379,356,83,0,0,11,2,0,0,0,0,0,0,0,0,1288,283,18,0,0,1467,460,126,0,0,11,3,0,0,61089.24252207519,114273225.0,1,Zafarobod_Jomi,Zafarobod,Jomi,10636,88,6430,1796,309,0,0,1796,0,0,0,0,6430,0,0,0,0,10624,13,0,0,0,88,0,0,0,0,1796,0,0,0,0,6430,0,0,0,0,10624,13,0,0,0,88,0,0,0,0,1796,0,0,0,0,6430,0,0,0,0,10624,13,0,0,0,88,0,0,0,61089.24252207519,114273225.0,1,Zafarobod_Jomi,Zafarobod,Jomi,10636,88,6430,1796,309,0,0,1788,8,0,0,0,6401,29,0,0,0,9750,308,578,0,0,82,1,3,0,0,1788,8,0,0,0,6401,29,0,0,0,9750,308,578,0,0,82,1,3,0,0,1788,8,0,0,0,6401,29,0,0,0,9750,308,578,0,0,82,1,3,0,61089.24252207519,114273225.0,1,Zafarobod_Jomi,Zafarobod,Jomi,10636,88,6430,1796,309,0,0,1796,0,0,0,0,6430,0,0,0,0,10636,0,0,0,0,88,0,0,0,0,1796,0,0,0,0,6430,0,0,0,0,10636,0,0,0,0,88,0,0,0,0,1796,0,0,0,0,6430,0,0,0,0,10636,0,0,0,0,88,0,0,0,61089.24252207519,114273225.0,1,Zafarobod_Jomi,Zafarobod,Jomi,10636,88,6430,1796,309,0,0,1795,1,0,0,0,6426,4,0,0,0,10382,254,0,0,0,86,2,0,0,0,0,1777,20,0,0,0,6358,72,0,0,0,9387,1249,0,0,0,77,12,0,0,0,0,1796,0,0,0,0,6430,0,0,0,0,10636,0,0,0,0,88,0,61089.24252207519,114273225.0
2,Zafarobod_Mehnatobod,Zafarobod,Mehnatobod,5857,52,11400,2179,392,2179,63,0,0,0,0,11400,0,0,0,0,5830,0,0,0,0,49,0,0,0,0,0,0,2179,0,0,0,0,11400,0,0,12,0,5814,0,0,0,0,49,0,0,0,0,0,20,2158,0,0,0,113,11287,0,0,0,1628,4202,0,0,0,16,33,32691.648717532033,62016975.0,2,Zafarobod_Mehnatobod,Zafarobod,Mehnatobod,5857,52,11400,2179,392,0,0,2179,0,0,0,0,11400,0,0,0,0,5857,0,0,0,0,52,0,0,0,0,0,2179,0,0,0,0,11400,0,0,0,0,5857,0,0,0,0,52,0,0,0,0,0,2179,0,0,0,0,11400,0,0,0,0,5857,0,0,0,32691.648717532033,62016975.0,2,Zafarobod_Mehnatobod,Zafarobod,Mehnatobod,5857,52,11400,2179,392,0,0,781,326,43,0,0,4144,1721,232,0,0,1386,441,52,0,0,11,3,0,0,0,828,394,74,0,0,4373,2102,392,0,0,1515,535,73,0,0,11,4,0,0,0,0,0,0,0,0,4346,2663,532,0,0,1538,671,114,0,0,12,5,0,0,32691.648717532033,62016975.0,2,Zafarobod_Mehnatobod,Zafarobod,Mehnatobod,5857,52,11400,2179,392,0,0,2179,0,0,0,0,11400,0,0,0,0,5857,0,0,0,0,51,0,0,0,0,2179,0,0,0,0,11400,0,0,0,0,5857,0,0,0,0,51,0,0,0,0,2179,0,0,0,0,11400,0,0,0,0,5857,0,0,0,0,51,0,0,0,32691.648717532033,62016975.0,2,Zafarobod_Mehnatobod,Zafarobod,Mehnatobod,5857,52,11400,2179,392,0,0,2179,0,0,0,0,11400,0,0,0,0,5857,0,0,0,0,51,0,0,0,0,2179,0,0,0,0,11400,0,0,0,0,5857,0,0,0,0,51,0,0,0,0,2179,0,0,0,0,11400,0,0,0,0,5857,0,0,0,0,51,0,0,0,32691.648717532033,62016975.0,2,Zafarobod_Mehnatobod,Zafarobod,Mehnatobod,5857,52,11400,2179,392,0,0,2179,0,0,0,0,11400,0,0,0,0,5857,0,0,0,0,51,0,0,0,0,2179,0,0,0,0,11400,0,0,0,0,5857,0,0,0,0,51,0,0,0,0,2179,0,0,0,0,11400,0,0,0,0,5857,0,0,0,0,51,0,0,0,32691.648717532033,62016975.0,2,Zafarobod_Mehnatobod,Zafarobod,Mehnatobod,5857,52,11400,2179,392,0,0,2179,0,0,0,0,11400,0,0,0,0,5857,0,0,0,0,51,0,0,0,0,0,2179,0,0,0,0,11400,0,0,0,0,5821,35,0,0,0,50,1,0,0,0,0,2179,0,0,0,0,11400,0,0,0,0,5857,0,0,0,0,51,0,32691.648717532033,62016975.0
3,Zafarobod_Zafarobod,Zafarobod,Zafarobod,6566,99,7717,4639,780,4626,0,0,0,0,0,7695,0,0,0,0,6496,0,0,0,0,94,0,0,0,0,13,1,4605,0,0,21,2,7660,0,0,27,1,6458,0,0,1,0,93,0,0,0,0,0,4626,0,0,0,0,7695,0,0,0,0,6496,0,0,0,0,94,0,37212.76627031866,73182037.5,3,Zafarobod_Zafarobod,Zafarobod,Zafarobod,6566,99,7717,4639,780,0,0,4639,0,0,0,0,7717,0,0,0,0,6566,0,0,0,0,99,0,0,0,0,0,4639,0,0,0,0,7717,0,0,0,0,6566,0,0,0,0,99,0,0,0,0,0,4639,0,0,0,0,7717,0,0,0,0,6566,0,0,0,37212.76627031866,73182037.5,3,Zafarobod_Zafarobod,Zafarobod,Zafarobod,6566,99,7717,4639,780,0,0,1212,413,73,0,0,2016,688,121,0,0,1656,632,158,0,0,17,5,1,0,0,1323,498,95,0,0,2201,828,159,0,0,1796,728,184,0,0,18,5,1,0,0,0,0,0,0,0,2321,967,209,0,0,1867,848,230,0,0,20,8,1,0,37212.76627031866,73182037.5,3,Zafarobod_Zafarobod,Zafarobod,Zafarobod,6566,99,7717,4639,780,0,0,4639,0,0,0,0,7717,0,0,0,0,6566,0,0,0,0,99,0,0,0,0,4639,0,0,0,0,7717,0,0,0,0,6566,0,0,0,0,99,0,0,0,0,4639,0,0,0,0,7717,0,0,0,0,6566,0,0,0,0,99,0,0,0,37212.76627031866,73182037.5,3,Zafarobod_Zafarobod,Zafarobod,Zafarobod,6566,99,7717,4639,780,0,0,4639,0,0,0,0,7717,0,0,0,0,6566,0,0,0,0,99,0,0,0,0,4639,0,0,0,0,7717,0,0,0,0,6566,0,0,0,0,99,0,0,0,0,4639,0,0,0,0,7717,0,0,0,0,6566,0,0,0,0,99,0,0,0,37212.76627031866,73182037.5,3,Zafarobod_Zafarobod,Zafarobod,Zafarobod,6566,99,7717,4639,780,0,0,4639,0,0,0,0,7717,0,0,0,0,6566,0,0,0,0,99,0,0,0,0,4639,0,0,0,0,7717,0,0,0,0,6566,0,0,0,0,99,0,0,0,0,4639,0,0,0,0,7717,0,0,0,0,6566,0,0,0,0,99,0,0,0,37212.76627031866,73182037.5,3,Zafarobod_Zafarobod,Zafarobod,Zafarobod,6566,99,7717,4639,780,0,0,4639,0,0,0,0,7717,0,0,0,0,6566,0,0,0,0,99,0,0,0,0,6,4633,0,0,0,10,7707,0,0,0,0,6566,0,0,0,0,99,0,0,0,6,0,4633,0,0,10,0,7707,0,0,0,0,6566,0,0,0,0,99,0,37212.76627031866,73182037.5
4,Zafarobod_Hamid_Aliev,Zafarobod,Hamid_Aliev,4928,40,772,1923,334,1923,0,0,0,0,0,772,0,0,0,0,4892,0,0,0,0,37,0,0,0,0,0,0,1923,0,0,0,0,772,0,0,14,1,4873,0,0,1,0,36,0,0,0,0,0,1923,0,0,0,0,772,0,0,0,0,4892,0,0,0,0,37,0,32388.667102530915,52618275.0,4,Zafarobod_Hamid_Aliev,Zafarobod,Hamid_Aliev,4928,40,772,1923,334,0,0,1923,0,0,0,0,772,0,0,0,0,4928,0,0,0,0,40,0,0,0,0,0,1923,0,0,0,0,772,0,0,0,0,4928,0,0,0,0,40,0,0,0,0,0,1923,0,0,0,0,772,0,0,0,0,4928,0,0,0,32388.667102530915,52618275.0,4,Zafarobod_Hamid_Aliev,Zafarobod,Hamid_Aliev,4928,40,772,1923,334,0,0,571,215,20,0,0,230,87,8,0,0,1059,284,32,0,0,8,2,0,0,0,628,292,33,0,0,251,118,13,0,0,1187,379,47,0,0,8,3,0,0,0,0,0,0,0,0,259,150,26,0,0,1239,492,77,0,0,10,4,0,0,32388.667102530915,52618275.0,4,Zafarobod_Hamid_Aliev,Zafarobod,Hamid_Aliev,4928,40,772,1923,334,0,0,1923,0,0,0,0,772,0,0,0,0,4928,0,0,0,0,40,0,0,0,0,1923,0,0,0,0,772,0,0,0,0,4928,0,0,0,0,40,0,0,0,0,1923,0,0,0,0,772,0,0,0,0,4928,0,0,0,0,40,0,0,0,32388.667102530915,52618275.0,4,Zafarobod_Hamid_Aliev,Zafarobod,Hamid_Aliev,4928,40,772,1923,334,0,0,1923,0,0,0,0,772,0,0,0,0,4928,0,0,0,0,40,0,0,0,0,1923,0,0,0,0,772,0,0,0,0,4928,0,0,0,0,40,0,0,0,0,1923,0,0,0,0,772,0,0,0,0,4928,0,0,0,0,40,0,0,0,32388.667102530915,52618275.0,4,Zafarobod_Hamid_Aliev,Zafarobod,Hamid_Aliev,4928,40,772,1923,334,0,0,1923,0,0,0,0,772,0,0,0,0,4928,0,0,0,0,40,0,0,0,0,1923,0,0,0,0,772,0,0,0,0,4928,0,0,0,0,40,0,0,0,0,1923,0,0,0,0,772,0,0,0,0,4928,0,0,0,0,40,0,0,0,32388.667102530915,52618275.0,4,Zafarobod_Hamid_Aliev,Zafarobod,Hamid_Aliev,4928,40,772,1923,334,0,0,1923,0,0,0,0,772,0,0,0,0,4928,0,0,0,0,40,0,0,0,0,0,1923,0,0,0,0,772,0,0,0,0,4928,0,0,0,0,40,0,0,0,0,0,1923,0,0,0,0,772,0,0,0,0,4928,0,0,0,0,40,0,32388.667102530915,52618275.0
5,Zafarobod_Ravshan,Zafarobod,Ravshan,11905,142,14771,2302,400,2302,0,0,0,0,0,14771,0,0,0,0,11832,0,0,0,0,139,0,0,0,0,0,95,2207,0,0,0,502,14269,0,0,32,2776,9020,0,0,0,20,119,0,0,0,0,0,2302,0,0,0,0,14771,0,0,0,0,11832,0,0,0,0,139,0,48921.64899499381,123728850.0,5,Zafarobod_Ravshan,Zafarobod,Ravshan,11905,142,14771,2302,400,0,0,2302,0,0,0,0,14771,0,0,0,0,11905,0,0,0,0,142,0,0,0,0,0,2302,0,0,0,0,14771,0,0,0,0,11905,0,0,0,0,142,0,0,0,0,0,2302,0,0,0,0,14771,0,0,0,0,11905,0,0,0,48921.64899499381,123728850.0,5,Zafarobod_Ravshan,Zafarobod,Ravshan,11905,142,14771,2302,400,0,0,474,88,6,0,0,3076,559,39,0,0,2264,654,85,0,0,25,5,0,0,0,573,119,15,0,0,3726,771,99,0,0,2564,825,125,0,0,28,6,1,0,0,1,0,0,0,0,4278,1110,148,0,0,2752,1111,205,0,0,33,8,2,0,48921.64899499381,123728850.0,5,Zafarobod_Ravshan,Zafarobod,Ravshan,11905,142,14771,2302,400,0,0,2302,0,0,0,0,14771,0,0,0,0,11905,0,0,0,0,142,0,0,0,0,2302,0,0,0,0,14771,0,0,0,0,11905,0,0,0,0,142,0,0,0,0,2302,0,0,0,0,14771,0,0,0,0,11905,0,0,0,0,142,0,0,0,48921.64899499381,123728850.0,5,Zafarobod_Ravshan,Zafarobod,Ravshan,11905,142,14771,2302,400,0,0,2302,0,0,0,0,14771,0,0,0,0,11905,0,0,0,0,142,0,0,0,0,2302,0,0,0,0,14771,0,0,0,0,11905,0,0,0,0,142,0,0,0,0,2302,0,0,0,0,14771,0,0,0,0,11905,0,0,0,0,142,0,0,0,48921.64899499381,123728850.0,5,Zafarobod_Ravshan,Zafarobod,Ravshan,11905,142,14771,2302,400,0,0,2302,0,0,0,0,14771,0,0,0,0,11905,0,0,0,0,142,0,0,0,0,2302,0,0,0,0,14771,0,0,0,0,11905,0,0,0,0,142,0,0,0,0,2302,0,0,0,0,14771,0,0,0,0,11905,0,0,0,0,142,0,0,0,48921.64899499381,123728850.0,5,Zafarobod_Ravshan,Zafarobod,Ravshan,11905,142,14771,2302,400,0,0,2302,0,0,0,0,14771,0,0,0,0,11905,0,0,0,0,142,0,0,0,0,0,2302,0,0,0,0,14771,0,0,0,0,11905,0,0,0,0,142,0,0,0,0,661,1641,0,0,0,4193,10578,0,0,0,5537,6367,0,0,0,57,85,0,48921.64899499381,123728850.0
