FID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_DR_25,TEMP,BUIL_DR_26,BUIL_DR_27,BUIL_DR_28,BUIL_DR_29,PEOP_DR_25,PEOP_DR_26,PEOP_DR_27,PEOP_DR_28,PEOP_DR_29,AGRI_DR_25,AGRI_DR_26,AGRI_DR_27,AGRI_DR_28,AGRI_DR_29,ROAD_DR_25,ROAD_DR_26,ROAD_DR_27,ROAD_DR_28,ROAD_DR_29,BUIL_DR_50,BUIL_DR_51,BUIL_DR_52,BUIL_DR_53,BUIL_DR_54,PEOP_DR_50,PEOP_DR_51,PEOP_DR_52,PEOP_DR_53,PEOP_DR_54,AGRI_DR_50,AGRI_DR_51,AGRI_DR_52,AGRI_DR_53,AGRI_DR_54,ROAD_DR_50,ROAD_DR_51,ROAD_DR_52,ROAD_DR_53,ROAD_DR_54,BUIL_DR_10,BUIL_DR_11,BUIL_DR_12,BUIL_DR_13,BUIL_DR_14,PEOP_DR_10,PEOP_DR_11,PEOP_DR_12,PEOP_DR_13,PEOP_DR_14,AGRI_DR_10,AGRI_DR_11,AGRI_DR_12,AGRI_DR_13,AGRI_DR_14,ROAD_DR_10,ROAD_DR_11,ROAD_DR_12,ROAD_DR_13,ROAD_DR_14,Shape_Length,Shape_Area,FID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_EQ_10,TEMP,BUIL_EQ_11,BUIL_EQ_12,BUIL_EQ_13,BUIL_EQ_14,PEOP_EQ_10,PEOP_EQ_11,PEOP_EQ_12,PEOP_EQ_13,PEOP_EQ_14,AGRI_EQ_10,AGRI_EQ_11,AGRI_EQ_12,AGRI_EQ_13,AGRI_EQ_14,ROAD_EQ_10,ROAD_EQ_11,ROAD_EQ_12,ROAD_EQ_13,ROAD_EQ_14,BUIL_EQ_47,BUIL_EQ_48,BUIL_EQ_49,BUIL_EQ_50,BUIL_EQ_51,PEOP_EQ_47,PEOP_EQ_48,PEOP_EQ_49,PEOP_EQ_50,PEOP_EQ_51,AGRI_EQ_47,AGRI_EQ_48,AGRI_EQ_49,AGRI_EQ_50,AGRI_EQ_51,ROAD_EQ_47,ROAD_EQ_48,ROAD_EQ_49,ROAD_EQ_50,ROAD_EQ_51,BUIL_EQ_15,BUIL_EQ_16,BUIL_EQ_17,BUIL_EQ_18,BUIL_EQ_19,PEOP_EQ_15,PEOP_EQ_16,PEOP_EQ_17,PEOP_EQ_18,PEOP_EQ_19,AGRI_EQ_15,AGRI_EQ_16,AGRI_EQ_17,AGRI_EQ_18,AGRI_EQ_19,ROAD_EQ_15,ROAD_EQ_16,Shape_Length,Shape_Area,FID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_FL_5_,TEMP,BUIL_FL_51,BUIL_FL_52,BUIL_FL_53,BUIL_FL_54,PEOP_FL_5_,PEOP_FL_51,PEOP_FL_52,PEOP_FL_53,PEOP_FL_54,AGRI_FL_5_,AGRI_FL_51,AGRI_FL_52,AGRI_FL_53,AGRI_FL_54,ROAD_FL_5_,ROAD_FL_51,ROAD_FL_52,ROAD_FL_53,ROAD_FL_54,BUIL_FL_20,BUIL_FL_21,BUIL_FL_22,BUIL_FL_23,BUIL_FL_24,PEOP_FL_20,PEOP_FL_21,PEOP_FL_22,PEOP_FL_23,PEOP_FL_24,AGRI_FL_20,AGRI_FL_21,AGRI_FL_22,AGRI_FL_23,AGRI_FL_24,ROAD_FL_20,ROAD_FL_21,ROAD_FL_22,ROAD_FL_23,ROAD_FL_24,BUIL_FL_10,BUIL_FL_11,BUIL_FL_12,BUIL_FL_13,BUIL_FL_14,PEOP_FL_10,PEOP_FL_11,PEOP_FL_12,PEOP_FL_13,PEOP_FL_14,AGRI_FL_10,AGRI_FL_11,AGRI_FL_12,AGRI_FL_13,AGRI_FL_14,ROAD_FL_10,ROAD_FL_11,ROAD_FL_12,ROAD_FL_13,ROAD_FL_14,Shape_Length,Shape_Area,FID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_LS_20,TEMP,BUIL_LS_21,BUIL_LS_22,BUIL_LS_23,BUIL_LS_24,PEOP_LS_20,PEOP_LS_21,PEOP_LS_22,PEOP_LS_23,PEOP_LS_24,AGRI_LS_20,AGRI_LS_21,AGRI_LS_22,AGRI_LS_23,AGRI_LS_24,ROAD_LS_20,ROAD_LS_21,ROAD_LS_22,ROAD_LS_23,ROAD_LS_24,BUIL_LS_50,BUIL_LS_51,BUIL_LS_52,BUIL_LS_53,BUIL_LS_54,PEOP_LS_50,PEOP_LS_51,PEOP_LS_52,PEOP_LS_53,PEOP_LS_54,AGRI_LS_50,AGRI_LS_51,AGRI_LS_52,AGRI_LS_53,AGRI_LS_54,ROAD_LS_50,ROAD_LS_51,ROAD_LS_52,ROAD_LS_53,ROAD_LS_54,BUIL_LS_10,BUIL_LS_11,BUIL_LS_12,BUIL_LS_13,BUIL_LS_14,PEOP_LS_10,PEOP_LS_11,PEOP_LS_12,PEOP_LS_13,PEOP_LS_14,AGRI_LS_10,AGRI_LS_11,AGRI_LS_12,AGRI_LS_13,AGRI_LS_14,ROAD_LS_10,ROAD_LS_11,ROAD_LS_12,ROAD_LS_13,ROAD_LS_14,Shape_Length,Shape_Area,FID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_MF_20,TEMP,BUIL_MF_21,BUIL_MF_22,BUIL_MF_23,BUIL_MF_24,PEOP_MF_20,PEOP_MF_21,PEOP_MF_22,PEOP_MF_23,PEOP_MF_24,AGRI_MF_20,AGRI_MF_21,AGRI_MF_22,AGRI_MF_23,AGRI_MF_24,ROAD_MF_20,ROAD_MF_21,ROAD_MF_22,ROAD_MF_23,ROAD_MF_24,BUIL_MF_50,BUIL_MF_51,BUIL_MF_52,BUIL_MF_53,BUIL_MF_54,PEOP_MF_50,PEOP_MF_51,PEOP_MF_52,PEOP_MF_53,PEOP_MF_54,AGRI_MF_50,AGRI_MF_51,AGRI_MF_52,AGRI_MF_53,AGRI_MF_54,ROAD_MF_50,ROAD_MF_51,ROAD_MF_52,ROAD_MF_53,ROAD_MF_54,BUIL_MF_10,BUIL_MF_11,BUIL_MF_12,BUIL_MF_13,BUIL_MF_14,PEOP_MF_10,PEOP_MF_11,PEOP_MF_12,PEOP_MF_13,PEOP_MF_14,AGRI_MF_10,AGRI_MF_11,AGRI_MF_12,AGRI_MF_13,AGRI_MF_14,ROAD_MF_10,ROAD_MF_11,ROAD_MF_12,ROAD_MF_13,ROAD_MF_14,Shape_Length,Shape_Area,FID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_SA_20,TEMP,BUIL_SA_21,BUIL_SA_22,BUIL_SA_23,BUIL_SA_24,PEOP_SA_20,PEOP_SA_21,PEOP_SA_22,PEOP_SA_23,PEOP_SA_24,AGRI_SA_20,AGRI_SA_21,AGRI_SA_22,AGRI_SA_23,AGRI_SA_24,ROAD_SA_20,ROAD_SA_21,ROAD_SA_22,ROAD_SA_23,ROAD_SA_24,BUIL_SA_50,BUIL_SA_51,BUIL_SA_52,BUIL_SA_53,BUIL_SA_54,PEOP_SA_50,PEOP_SA_51,PEOP_SA_52,PEOP_SA_53,PEOP_SA_54,AGRI_SA_50,AGRI_SA_51,AGRI_SA_52,AGRI_SA_53,AGRI_SA_54,ROAD_SA_50,ROAD_SA_51,ROAD_SA_52,ROAD_SA_53,ROAD_SA_54,BUIL_SA_10,BUIL_SA_11,BUIL_SA_12,BUIL_SA_13,BUIL_SA_14,PEOP_SA_10,PEOP_SA_11,PEOP_SA_12,PEOP_SA_13,PEOP_SA_14,AGRI_SA_10,AGRI_SA_11,AGRI_SA_12,AGRI_SA_13,AGRI_SA_14,ROAD_SA_10,ROAD_SA_11,ROAD_SA_12,ROAD_SA_13,ROAD_SA_14,Shape_Length,Shape_Area,FID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_WS_5_,TEMP,BUIL_WS_51,BUIL_WS_52,BUIL_WS_53,BUIL_WS_54,PEOP_WS_5_,PEOP_WS_51,PEOP_WS_52,PEOP_WS_53,PEOP_WS_54,AGRI_WS_5_,AGRI_WS_51,AGRI_WS_52,AGRI_WS_53,AGRI_WS_54,ROAD_WS_5_,ROAD_WS_51,ROAD_WS_52,ROAD_WS_53,ROAD_WS_54,BUIL_WS_20,BUIL_WS_21,BUIL_WS_22,BUIL_WS_23,BUIL_WS_24,PEOP_WS_20,PEOP_WS_21,PEOP_WS_22,PEOP_WS_23,PEOP_WS_24,AGRI_WS_20,AGRI_WS_21,AGRI_WS_22,AGRI_WS_23,AGRI_WS_24,ROAD_WS_20,ROAD_WS_21,ROAD_WS_22,ROAD_WS_23,ROAD_WS_24,BUIL_WS_50,BUIL_WS_55,BUIL_WS_56,BUIL_WS_57,BUIL_WS_58,PEOP_WS_50,PEOP_WS_55,PEOP_WS_56,PEOP_WS_57,PEOP_WS_58,AGRI_WS_50,AGRI_WS_55,AGRI_WS_56,AGRI_WS_57,AGRI_WS_58,ROAD_WS_50,ROAD_WS_55,ROAD_WS_56,ROAD_WS_57,ROAD_WS_58,Shape_Length,Shape_Area
1,Mastchoh_Navbahor,Mastchoh,Navbahor,16970,238,13380,5408,935,5408,4,0,0,0,0,13380,0,0,0,0,16793,0,0,0,0,235,0,0,0,0,0,4948,460,0,0,0,12342,1038,0,0,307,16431,37,0,0,2,180,52,0,0,0,0,651,4756,0,0,0,1517,11863,0,0,0,6921,9871,0,0,0,61,165,9,129432.07807165405,528214725.0,1,Mastchoh_Navbahor,Mastchoh,Navbahor,16970,238,13380,5408,935,0,0,5408,0,0,0,0,13380,0,0,0,0,16970,0,0,0,0,238,0,0,0,0,0,5408,0,0,0,0,13380,0,0,0,0,16970,0,0,0,0,238,0,0,0,0,5315,93,0,0,0,13155,224,0,0,0,16970,0,0,0,0,129432.07807165405,528214725.0,1,Mastchoh_Navbahor,Mastchoh,Navbahor,16970,238,13380,5408,935,0,0,868,215,59,0,0,2094,514,145,0,0,2878,837,224,0,0,43,21,13,0,0,990,235,61,0,0,2377,561,147,0,0,3157,993,332,0,0,48,25,14,0,0,0,0,0,0,0,2433,694,201,0,0,3215,1196,470,0,0,42,24,20,0,129432.07807165405,528214725.0,1,Mastchoh_Navbahor,Mastchoh,Navbahor,16970,238,13380,5408,935,0,0,3761,1646,2,0,0,9454,3921,5,0,0,16107,863,1,0,0,161,75,2,0,0,3761,1646,2,0,0,9454,3921,5,0,0,16107,863,1,0,0,161,75,2,0,0,3761,1646,2,0,0,9454,3921,5,0,0,16107,863,1,0,0,161,75,2,0,129432.07807165405,528214725.0,1,Mastchoh_Navbahor,Mastchoh,Navbahor,16970,238,13380,5408,935,0,0,844,2276,2288,0,0,2005,5891,5484,0,0,7644,3386,5940,0,0,52,54,132,0,0,844,2276,2288,0,0,2005,5891,5484,0,0,7644,3386,5940,0,0,52,54,132,0,0,844,2276,2288,0,0,2005,5891,5484,0,0,7644,3386,5940,0,0,52,54,132,0,129432.07807165405,528214725.0,1,Mastchoh_Navbahor,Mastchoh,Navbahor,16970,238,13380,5408,935,0,0,5408,0,0,0,0,13380,0,0,0,0,16970,0,0,0,0,238,0,0,0,0,5408,0,0,0,0,13380,0,0,0,0,16970,0,0,0,0,238,0,0,0,0,5408,0,0,0,0,13380,0,0,0,0,16970,0,0,0,0,238,0,0,0,129432.07807165405,528214725.0,1,Mastchoh_Navbahor,Mastchoh,Navbahor,16970,238,13380,5408,935,0,0,5408,0,0,0,0,13380,0,0,0,0,16970,0,0,0,0,233,5,0,0,0,897,4511,0,0,0,2182,11198,0,0,0,6747,10223,0,0,0,81,151,5,0,0,0,4699,708,0,0,0,11677,1703,0,0,0,16914,57,0,0,0,200,36,1,129432.07807165405,528214725.0
2,Mastchoh_Sughdiyon,Mastchoh,Sughdiyon,2171,33,2400,787,149,776,100,11,0,0,0,2361,39,0,0,0,1982,189,0,0,0,28,4,0,0,0,0,0,787,0,0,0,0,2400,0,0,0,0,2171,0,0,0,0,33,0,0,0,0,0,0,787,0,0,0,0,2400,0,0,0,0,2171,0,0,0,0,33,77822.35271446491,101629575.0,2,Mastchoh_Sughdiyon,Mastchoh,Sughdiyon,2171,33,2400,787,149,0,0,787,0,0,0,0,2400,0,0,0,0,2171,0,0,0,0,33,0,0,0,0,0,787,0,0,0,0,2400,0,0,0,0,2171,0,0,0,0,33,0,0,0,0,1,786,0,0,0,2,2398,0,0,0,1,2170,0,0,0,77822.35271446491,101629575.0,2,Mastchoh_Sughdiyon,Mastchoh,Sughdiyon,2171,33,2400,787,149,0,0,124,20,2,0,0,379,64,7,0,0,639,181,28,0,0,9,3,0,0,0,136,19,2,0,0,413,66,6,0,0,701,230,37,0,0,9,2,0,0,0,0,0,0,0,0,378,87,13,0,0,717,279,55,0,0,9,4,0,0,77822.35271446491,101629575.0,2,Mastchoh_Sughdiyon,Mastchoh,Sughdiyon,2171,33,2400,787,149,0,0,740,47,0,0,0,2238,162,0,0,0,2171,0,0,0,0,33,0,0,0,0,740,47,0,0,0,2238,162,0,0,0,2171,0,0,0,0,33,0,0,0,0,740,47,0,0,0,2238,162,0,0,0,2171,0,0,0,0,33,0,0,0,77822.35271446491,101629575.0,2,Mastchoh_Sughdiyon,Mastchoh,Sughdiyon,2171,33,2400,787,149,0,0,90,128,570,0,0,217,385,1798,0,0,800,4,1368,0,0,11,0,22,0,0,90,128,570,0,0,217,385,1798,0,0,800,4,1368,0,0,11,0,22,0,0,90,128,570,0,0,217,385,1798,0,0,800,4,1368,0,0,11,0,22,0,77822.35271446491,101629575.0,2,Mastchoh_Sughdiyon,Mastchoh,Sughdiyon,2171,33,2400,787,149,0,0,787,0,0,0,0,2400,0,0,0,0,2171,0,0,0,0,33,0,0,0,0,787,0,0,0,0,2400,0,0,0,0,2171,0,0,0,0,33,0,0,0,0,787,0,0,0,0,2400,0,0,0,0,2171,0,0,0,0,33,0,0,0,77822.35271446491,101629575.0,2,Mastchoh_Sughdiyon,Mastchoh,Sughdiyon,2171,33,2400,787,149,0,0,786,1,0,0,0,2398,2,0,0,0,2098,75,0,0,0,29,4,0,0,0,0,684,102,0,0,0,2048,352,0,0,0,1116,1056,0,0,0,22,12,0,0,0,0,787,0,0,0,0,2400,0,0,0,0,2171,0,0,0,0,33,0,77822.35271446491,101629575.0
3,Mastchoh_Buston,Mastchoh,Buston,3864,64,14600,2716,475,2714,3,0,0,0,0,14589,0,0,0,0,3831,0,0,0,0,64,0,0,0,0,0,915,1799,0,0,0,4487,10102,0,0,14,3018,791,0,0,0,19,44,0,0,0,0,325,2288,100,0,0,1560,12534,496,0,0,844,2973,13,0,0,7,55,2,51679.96191654432,57915787.5,3,Mastchoh_Buston,Mastchoh,Buston,3864,64,14600,2716,475,0,0,2716,0,0,0,0,14600,0,0,0,0,3864,0,0,0,0,64,0,0,0,0,0,2716,0,0,0,0,14600,0,0,0,0,3864,0,0,0,0,64,0,0,0,0,2716,0,0,0,0,14600,0,0,0,0,3864,0,0,0,0,51679.96191654432,57915787.5,3,Mastchoh_Buston,Mastchoh,Buston,3864,64,14600,2716,475,0,0,468,121,12,0,0,2350,581,61,0,0,873,367,66,0,0,11,3,0,0,0,487,133,22,0,0,2438,640,109,0,0,943,442,94,0,0,12,3,1,0,0,0,0,0,0,0,2531,746,123,0,0,975,525,134,0,0,12,5,1,0,51679.96191654432,57915787.5,3,Mastchoh_Buston,Mastchoh,Buston,3864,64,14600,2716,475,0,0,2505,211,0,0,0,12701,1899,0,0,0,3760,103,0,0,0,61,4,0,0,0,2505,211,0,0,0,12701,1899,0,0,0,3760,103,0,0,0,61,4,0,0,0,2505,211,0,0,0,12701,1899,0,0,0,3760,103,0,0,0,61,4,0,0,51679.96191654432,57915787.5,3,Mastchoh_Buston,Mastchoh,Buston,3864,64,14600,2716,475,0,0,1525,954,236,0,0,7267,6117,1215,0,0,3422,308,134,0,0,34,25,6,0,0,1525,954,236,0,0,7267,6117,1215,0,0,3422,308,134,0,0,34,25,6,0,0,1525,954,236,0,0,7267,6117,1215,0,0,3422,308,134,0,0,34,25,6,0,51679.96191654432,57915787.5,3,Mastchoh_Buston,Mastchoh,Buston,3864,64,14600,2716,475,0,0,2716,0,0,0,0,14600,0,0,0,0,3864,0,0,0,0,64,0,0,0,0,2716,0,0,0,0,14600,0,0,0,0,3864,0,0,0,0,64,0,0,0,0,2716,0,0,0,0,14600,0,0,0,0,3864,0,0,0,0,64,0,0,0,51679.96191654432,57915787.5,3,Mastchoh_Buston,Mastchoh,Buston,3864,64,14600,2716,475,0,0,2716,0,0,0,0,14600,0,0,0,0,3864,0,0,0,0,64,0,0,0,0,0,2716,0,0,0,0,14600,0,0,0,0,3864,0,0,0,0,64,0,0,0,0,1907,809,0,0,0,9118,5482,0,0,0,3685,179,0,0,0,44,20,0,51679.96191654432,57915787.5
4,Mastchoh_Paldorak,Mastchoh,Paldorak,5076,44,21231,4350,739,4219,70,131,0,0,0,20587,644,0,0,0,4065,999,0,0,0,42,2,0,0,0,0,78,4268,4,0,0,385,20827,18,0,7,843,4092,121,0,0,7,37,0,0,0,0,0,340,4009,0,0,0,1667,19564,0,0,84,1622,3358,0,0,1,12,31,83465.26321291566,99867150.0,4,Mastchoh_Paldorak,Mastchoh,Paldorak,5076,44,21231,4350,739,0,0,4350,0,0,0,0,21231,0,0,0,0,5076,0,0,0,0,44,0,0,0,0,0,4350,0,0,0,0,21231,0,0,0,0,5076,0,0,0,0,44,0,0,0,0,4040,310,0,0,0,19707,1524,0,0,0,5047,29,0,0,0,83465.26321291566,99867150.0,4,Mastchoh_Paldorak,Mastchoh,Paldorak,5076,44,21231,4350,739,0,0,805,222,31,0,0,3961,1092,150,0,0,909,347,51,0,0,10,3,0,0,0,903,246,36,0,0,4439,1211,179,0,0,1024,442,93,0,0,11,5,0,0,0,0,0,0,0,0,4763,1556,301,0,0,1057,567,178,0,0,11,5,2,0,83465.26321291566,99867150.0,4,Mastchoh_Paldorak,Mastchoh,Paldorak,5076,44,21231,4350,739,0,0,4290,60,0,0,0,20936,295,0,0,0,5032,44,0,0,0,44,0,0,0,0,4290,60,0,0,0,20936,295,0,0,0,5032,44,0,0,0,44,0,0,0,0,4290,60,0,0,0,20936,295,0,0,0,5032,44,0,0,0,44,0,0,0,83465.26321291566,99867150.0,4,Mastchoh_Paldorak,Mastchoh,Paldorak,5076,44,21231,4350,739,0,0,3502,101,747,0,0,17103,467,3661,0,0,4841,28,207,0,0,41,0,3,0,0,3502,101,747,0,0,17103,467,3661,0,0,4841,28,207,0,0,41,0,3,0,0,3502,101,747,0,0,17103,467,3661,0,0,4841,28,207,0,0,41,0,3,0,83465.26321291566,99867150.0,4,Mastchoh_Paldorak,Mastchoh,Paldorak,5076,44,21231,4350,739,0,0,4350,0,0,0,0,21231,0,0,0,0,5076,0,0,0,0,44,0,0,0,0,4350,0,0,0,0,21231,0,0,0,0,5076,0,0,0,0,44,0,0,0,0,4350,0,0,0,0,21231,0,0,0,0,5076,0,0,0,0,44,0,0,0,83465.26321291566,99867150.0,4,Mastchoh_Paldorak,Mastchoh,Paldorak,5076,44,21231,4350,739,0,0,4350,0,0,0,0,21231,0,0,0,0,5076,0,0,0,0,44,0,0,0,0,0,4350,0,0,0,0,21231,0,0,0,0,5076,0,0,0,0,44,0,0,0,0,1066,3284,0,0,0,5238,15993,0,0,0,2651,2425,0,0,0,16,27,0,83465.26321291566,99867150.0
5,Mastchoh_Obburdon,Mastchoh,Obburdon,7335,138,38293,4793,816,1,99,4724,0,0,0,9,37779,0,0,0,537,6760,0,0,0,1,135,0,0,0,27,0,245,4452,0,201,0,1958,35628,0,15,0,3120,4162,0,1,0,16,120,0,0,0,0,0,4725,0,0,0,0,37787,0,0,0,0,7297,0,0,0,0,137,46413.484325628895,81479925.0,5,Mastchoh_Obburdon,Mastchoh,Obburdon,7335,138,38293,4793,816,0,0,4793,0,0,0,0,38293,0,0,0,0,7335,0,0,0,0,138,0,0,0,0,0,4793,0,0,0,0,38293,0,0,0,0,7335,0,0,0,0,138,0,0,0,0,4574,220,0,0,0,36536,1757,0,0,0,3233,4101,0,0,0,46413.484325628895,81479925.0,5,Mastchoh_Obburdon,Mastchoh,Obburdon,7335,138,38293,4793,816,0,0,956,259,26,0,0,7877,2074,210,0,0,2170,607,70,0,0,31,8,1,0,0,1123,315,46,0,0,9091,2519,364,0,0,2400,776,105,0,0,35,11,1,0,0,0,0,0,0,0,10050,3252,518,0,0,2471,1000,159,0,0,38,14,1,0,46413.484325628895,81479925.0,5,Mastchoh_Obburdon,Mastchoh,Obburdon,7335,138,38293,4793,816,0,0,4793,0,0,0,0,38289,0,0,0,0,7335,0,0,0,0,138,0,0,0,0,4793,0,0,0,0,38289,0,0,0,0,7335,0,0,0,0,138,0,0,0,0,4793,0,0,0,0,38289,0,0,0,0,7335,0,0,0,0,138,0,0,0,46413.484325628895,81479925.0,5,Mastchoh_Obburdon,Mastchoh,Obburdon,7335,138,38293,4793,816,0,0,4793,0,0,0,0,38289,0,0,0,0,7335,0,0,0,0,138,0,0,0,0,4793,0,0,0,0,38289,0,0,0,0,7335,0,0,0,0,138,0,0,0,0,4793,0,0,0,0,38289,0,0,0,0,7335,0,0,0,0,138,0,0,0,46413.484325628895,81479925.0,5,Mastchoh_Obburdon,Mastchoh,Obburdon,7335,138,38293,4793,816,0,0,4793,0,0,0,0,38289,0,0,0,0,7335,0,0,0,0,138,0,0,0,0,4793,0,0,0,0,38289,0,0,0,0,7335,0,0,0,0,138,0,0,0,0,4793,0,0,0,0,38289,0,0,0,0,7335,0,0,0,0,138,0,0,0,46413.484325628895,81479925.0,5,Mastchoh_Obburdon,Mastchoh,Obburdon,7335,138,38293,4793,816,0,0,4793,0,0,0,0,38289,0,0,0,0,7335,0,0,0,0,138,0,0,0,0,0,4793,0,0,0,0,38289,0,0,0,0,7332,3,0,0,0,138,0,0,0,0,0,4793,0,0,0,0,38289,0,0,0,101,7234,0,0,0,0,138,0,46413.484325628895,81479925.0
6,Mastchoh_Mastchoh,Mastchoh,Mastchoh,6828,109,22455,4242,716,0,100,4242,0,0,0,0,22455,0,0,0,0,6770,0,0,0,0,109,0,0,0,0,0,206,4036,0,0,0,1095,21360,0,20,0,274,6476,0,0,0,2,107,0,0,0,0,0,4242,0,0,0,0,22455,0,0,0,0,6770,0,0,0,0,109,45481.67604697445,86957325.0,6,Mastchoh_Mastchoh,Mastchoh,Mastchoh,6828,109,22455,4242,716,0,0,4242,0,0,0,0,22455,0,0,0,0,6828,0,0,0,0,109,0,0,0,0,0,4242,0,0,0,0,22455,0,0,0,0,6828,0,0,0,0,109,0,0,0,0,0,4242,0,0,0,0,22455,0,0,0,15,6812,0,0,0,45481.67604697445,86957325.0,6,Mastchoh_Mastchoh,Mastchoh,Mastchoh,6828,109,22455,4242,716,0,0,630,127,15,0,0,3332,674,80,0,0,1669,533,76,0,0,21,5,0,0,0,689,146,22,0,0,3645,776,119,0,0,1788,643,115,0,0,23,6,1,0,0,0,0,0,0,0,3756,950,173,0,0,1809,762,171,0,0,23,8,1,0,45481.67604697445,86957325.0,6,Mastchoh_Mastchoh,Mastchoh,Mastchoh,6828,109,22455,4242,716,0,0,4211,32,0,0,0,22287,168,0,0,0,6818,10,0,0,0,109,0,0,0,0,4211,32,0,0,0,22287,168,0,0,0,6818,10,0,0,0,109,0,0,0,0,4211,32,0,0,0,22287,168,0,0,0,6818,10,0,0,0,109,0,0,0,45481.67604697445,86957325.0,6,Mastchoh_Mastchoh,Mastchoh,Mastchoh,6828,109,22455,4242,716,0,0,4179,44,19,0,0,22120,236,100,0,0,6726,80,22,0,0,109,0,0,0,0,4179,44,19,0,0,22120,236,100,0,0,6726,80,22,0,0,109,0,0,0,0,4179,44,19,0,0,22120,236,100,0,0,6726,80,22,0,0,109,0,0,0,45481.67604697445,86957325.0,6,Mastchoh_Mastchoh,Mastchoh,Mastchoh,6828,109,22455,4242,716,0,0,4242,0,0,0,0,22455,0,0,0,0,6828,0,0,0,0,109,0,0,0,0,4242,0,0,0,0,22455,0,0,0,0,6828,0,0,0,0,109,0,0,0,0,4242,0,0,0,0,22455,0,0,0,0,6828,0,0,0,0,109,0,0,0,45481.67604697445,86957325.0,6,Mastchoh_Mastchoh,Mastchoh,Mastchoh,6828,109,22455,4242,716,0,0,2572,1670,0,0,0,13587,8868,0,0,0,5145,1683,0,0,0,72,37,0,0,0,0,2360,1882,0,0,0,12461,9994,0,0,0,2991,3837,0,0,0,55,54,0,0,0,0,4242,0,0,0,0,22455,0,0,0,0,6828,0,0,0,0,109,0,45481.67604697445,86957325.0
